ID,LANGUAGE,TEXT,SOURCE
"one, two, three",aklanon,"isaea, daywa, tatlo",
"one, two, three",bahasa sug,"isa, duwa, tuw",
"one, two, three",bikol,"saro, duwa, tulo",
"one, two, three",cebuano,"usa, duha, tulo",
"one, two, three",chavacano,"uno, dos, tres",
"one, two, three",cuyonon,"isara, darwa, tatlo",
"one, two, three",english,"one, two, three",
"one, two, three",hiligaynon,"isa, duha, tatlo",
"one, two, three",ibanag,"tadday, duwa, tallu",
"one, two, three",ilocano,"maysa, dua, tallo",
"one, two, three",ivatan,"asa, dadua, tatdu",
"one, two, three",kapampangan,"metung, adwa, atlu",
"one, two, three",kinaray-a,"isara, darwa, tatlo",
"one, two, three",maguindanao,"isa, duwa, telu",
"one, two, three",meranaw,"isa, dowa, telo",
"one, two, three",pangasinense,"sakey, duara, apatira",
"one, two, three",sambal,"asa, luwa, tulo",
"one, two, three",tagalog,"isa, dalawa, tatlo",
"one, two, three",waray,"usa, duha, tulo",
"one, two, three",yakan,"issah, duwe, tellu",
