ID,LANGUAGE,TEXT,SOURCE
"four, five, six",aklanon,"ap-at, lima, an-om",
"four, five, six",bahasa sug,"upat, lima, unum",
"four, five, six",bikol,"apat, lima, anom",
"four, five, six",cebuano,"upat, lima, unom",
"four, five, six",chavacano,"cuatro, cinco, seis",
"four, five, six",cuyonon,"apat, lima, anem",
"four, five, six",english,"four, five, six",
"four, five, six",hiligaynon,"apat, lima, anum",
"four, five, six",ibanag,"appa, lima, annam",
"four, five, six",ilocano,"uppat, lima, innem",
"four, five, six",ivatan,"apat, dadima, anem",
"four, five, six",kapampangan,"apat, lima, anam",
"four, five, six",kinaray-a,"apat, lima, anem",
"four, five, six",maguindanao,"pat, lima, nem",
"four, five, six",meranaw,"pat, lima, nem",
"four, five, six",pangasinense,"apatira, limara, anemira",
"four, five, six",sambal,"apat, lima, anum",
"four, five, six",tagalog,"apat, lima, anim",
"four, five, six",waray,"upat, lima, unom",
"four, five, six",yakan,"ampat, lime, ennem",
