ID,LANGUAGE,TEXT,SOURCE
"seven, eight, nine, ten",aklanon,"pito, waeo, siyam, pueo",
"seven, eight, nine, ten",bahasa sug,"pitu, walu, siyam, hangpu",
"seven, eight, nine, ten",bikol,"pito, walo, siyam, sampulo",
"seven, eight, nine, ten",cebuano,"pito, walo, siyam, napulo",
"seven, eight, nine, ten",chavacano,"siete, ocho, nueve, diez",
"seven, eight, nine, ten",cuyonon,"pito, walo, siam, sampolo",
"seven, eight, nine, ten",english,"seven, eight, nine, ten",
"seven, eight, nine, ten",hiligaynon,"pito, walo, siyam, pulo",
"seven, eight, nine, ten",ibanag,"pitu, walu, siyam, mafulu",
"seven, eight, nine, ten",ilocano,"pito, walo, siam, sangapulo",
"seven, eight, nine, ten",ivatan,"papito, wawajo, sasyam, sapujo",
"seven, eight, nine, ten",kapampangan,"pito, walu, siyam, apulu",
"seven, eight, nine, ten",kinaray-a,"pito, walo, siyam, pulu",
"seven, eight, nine, ten",maguindanao,"pitu, walu, siyaw, sapulu",
"seven, eight, nine, ten",meranaw,"pito, oalo, siao, sapolo",
"seven, eight, nine, ten",pangasinense,"pitora, walora, siamira, samplora",
"seven, eight, nine, ten",sambal,"pito, walo, siyam, mapulo",
"seven, eight, nine, ten",tagalog,"pito, walo, siyam, sampu",
"seven, eight, nine, ten",waray,"pito, walo, siyam, napulo",
"seven, eight, nine, ten",yakan,"pituh, waluh, siyam, sampuh",
