ID,LANGUAGE,TEXT,SOURCE
thank you very much,english,thank you very much,
thank you very much,tagalog,maraming salamat,
thank you very much,cebuano,salamat kaayo,
thank you very much,ilocano,agyamanak la unay,
thank you very much,hiligaynon,salamat gid,
thank you very much,waray,salamat hin duro,
thank you very much,bikol,mabalos na marhay,
thank you very much,kapampangan,dakal a salamat,
thank you very much,pangasinense,balbaleg ya salamat,
thank you very much,maranao,madakel a salamat,
thank you very much,chavacano,muchas gracias,
